time: 2000000000
32 1 1
32 2 1
32 3 1
32 4 1
33 1 1
33 2 1
33 3 1
33 4 1
34 1 1
34 2 1
34 3 1
34 4 1
35 1 1
35 2 1
35 3 1
35 4 1
36 1 1
36 2 1
36 3 1
36 4 1
37 1 1
37 2 1
37 3 1
37 4 1
38 1 1
38 2 1
38 3 1
38 4 1
39 1 1
39 2 1
39 3 1
39 4 1
40 1 1
40 2 1
40 3 1
40 4 1
41 1 1
41 2 1
41 3 1
41 4 1
42 1 1
42 2 1
42 3 1
42 4 1
43 1 1
43 2 1
43 3 1
43 4 1
44 1 1
44 2 1
44 3 1
44 4 1
45 1 1
45 2 1
45 3 1
45 4 1
46 1 1
46 2 1
46 3 1
46 4 1
47 1 1
47 2 1
47 3 1
47 4 1
48 1 1
48 2 1
48 3 1
48 4 1
49 1 1
49 2 1
49 3 1
49 4 1
50 1 1
50 2 1
50 3 1
50 4 1
51 1 1
51 2 1
51 3 1
51 4 1
52 1 1
52 2 1
52 3 1
52 4 1
53 1 1
53 2 1
53 3 1
53 4 1
54 1 1
54 2 1
54 3 1
54 4 1
55 1 1
55 2 1
55 3 1
55 4 1
56 1 1
56 2 1
56 3 1
56 4 1
57 1 1
57 2 1
57 3 1
57 4 1
58 1 1
58 2 1
58 3 1
58 4 1
59 1 1
59 2 1
59 3 1
59 4 1
60 1 1
60 2 1
60 3 1
60 4 1
61 1 1
61 2 1
61 3 1
61 4 1
62 1 1
62 2 1
62 3 1
62 4 1
63 1 1
63 2 1
63 3 1
63 4 1
64 1 1
64 2 1
64 3 1
64 4 1
64 5 1
65 1 1
65 2 1
65 3 1
65 4 1
65 5 1
66 1 1
66 2 1
66 3 1
66 4 1
66 5 1
67 1 1
67 2 1
67 3 1
67 4 1
67 5 1
68 1 1
68 2 1
68 3 1
68 4 1
68 5 1
69 1 1
69 2 1
69 3 1
69 4 1
69 5 1
70 1 1
70 2 1
70 3 1
70 4 1
70 5 1
71 1 1
71 2 1
71 3 1
71 4 1
71 5 1
72 1 1
72 2 1
72 3 1
72 4 1
72 5 1
73 1 1
73 2 1
73 3 1
73 4 1
73 5 1
