time: 2000000000
32 1 1
32 2 1
32 3 1
32 4 1
33 1 1
33 2 1
33 3 1
33 4 1
34 1 1
34 2 1
34 3 1
34 4 1
35 1 1
35 2 1
35 3 1
35 4 1
36 1 1
36 2 1
36 3 1
36 4 1
37 1 1
37 2 1
37 3 1
37 4 1
38 1 1
38 2 1
38 3 1
38 4 1
39 1 1
39 2 1
39 3 1
39 4 1
40 1 1
40 2 1
40 3 1
40 4 1
41 1 1
41 2 1
41 3 1
41 4 1
42 1 1
42 2 1
42 3 1
42 4 1
43 1 1
43 2 1
43 3 1
43 4 1
44 1 1
44 2 1
44 3 1
44 4 1
45 1 1
45 2 1
45 3 1
45 4 1
46 1 1
46 2 1
46 3 1
46 4 1
47 1 1
47 2 1
47 3 1
47 4 1
48 1 1
48 2 1
48 3 1
48 4 1
49 1 1
49 2 1
49 3 1
49 4 1
50 1 1
50 2 1
50 3 1
50 4 1
51 1 1
51 2 1
51 3 1
51 4 1
52 1 1
52 2 1
52 3 1
52 4 1
53 1 1
53 2 1
53 3 1
53 4 1
54 1 1
54 2 1
54 3 1
54 4 1
55 1 1
55 2 1
55 3 1
55 4 1
56 1 1
56 2 1
56 3 1
56 4 1
57 1 1
57 2 1
57 3 1
57 4 1
58 1 1
58 2 1
58 3 1
58 4 1
59 1 1
59 2 1
59 3 1
59 4 1
60 1 1
60 2 1
60 3 1
60 4 1
61 1 1
61 2 1
61 3 1
61 4 1
62 1 1
62 2 1
62 3 1
62 4 1
63 1 1
63 2 1
63 3 1
63 4 1
64 1 1
64 2 1
64 3 1
64 4 1
64 5 1
65 1 1
65 2 1
65 3 1
65 4 1
65 5 1
66 1 1
66 2 1
66 3 1
66 4 1
66 5 1
67 1 1
67 2 1
67 3 1
67 4 1
67 5 1
68 1 1
68 2 1
68 3 1
68 4 1
68 5 1
69 1 1
69 2 1
69 3 1
69 4 1
69 5 1
70 1 1
70 2 1
70 3 1
70 4 1
70 5 1
71 1 1
71 2 1
71 3 1
71 4 1
71 5 1
72 1 1
72 2 1
72 3 1
72 4 1
72 5 1
73 1 1
73 2 1
73 3 1
73 4 1
73 5 1
time: 2100000000
32 1 2
32 2 2
32 3 2
32 4 2
33 1 2
33 2 2
33 3 2
33 4 2
34 1 2
34 2 2
34 3 2
34 4 2
35 1 2
35 2 2
35 3 2
35 4 2
36 1 2
36 2 2
36 3 2
36 4 2
37 1 2
37 2 2
37 3 2
37 4 2
38 1 2
38 2 2
38 3 2
38 4 2
39 1 2
39 2 2
39 3 2
39 4 2
40 1 2
40 2 2
40 3 2
40 4 2
41 1 2
41 2 2
41 3 2
41 4 2
42 1 2
42 2 2
42 3 2
42 4 2
43 1 2
43 2 2
43 3 2
43 4 2
44 1 2
44 2 2
44 3 2
44 4 2
45 1 2
45 2 2
45 3 2
45 4 2
46 1 2
46 2 2
46 3 2
46 4 2
47 1 2
47 2 2
47 3 2
47 4 2
48 1 2
48 2 2
48 3 2
48 4 2
49 1 2
49 2 2
49 3 2
49 4 2
50 1 2
50 2 2
50 3 2
50 4 2
51 1 2
51 2 2
51 3 2
51 4 2
52 1 2
52 2 2
52 3 2
52 4 2
53 1 2
53 2 2
53 3 2
53 4 2
54 1 2
54 2 2
54 3 2
54 4 2
55 1 2
55 2 2
55 3 2
55 4 2
56 1 2
56 2 2
56 3 2
56 4 2
57 1 2
57 2 2
57 3 2
57 4 2
58 1 2
58 2 2
58 3 2
58 4 2
59 1 2
59 2 2
59 3 2
59 4 2
60 1 2
60 2 2
60 3 2
60 4 2
61 1 2
61 2 2
61 3 2
61 4 2
62 1 2
62 2 2
62 3 2
62 4 2
63 1 2
63 2 2
63 3 2
63 4 2
64 1 2
64 2 2
64 3 2
64 4 2
64 5 2
65 1 2
65 2 2
65 3 2
65 4 2
65 5 2
66 1 2
66 2 2
66 3 2
66 4 2
66 5 2
67 1 2
67 2 2
67 3 2
67 4 2
67 5 2
68 1 2
68 2 2
68 3 2
68 4 2
68 5 2
69 1 2
69 2 2
69 3 2
69 4 2
69 5 2
70 1 2
70 2 2
70 3 2
70 4 2
70 5 2
71 1 2
71 2 2
71 3 2
71 4 2
71 5 2
72 1 2
72 2 2
72 3 2
72 4 2
72 5 2
73 1 2
73 2 2
73 3 2
73 4 2
73 5 2
time: 2200000000
32 1 3
32 2 3
32 3 3
32 4 3
33 1 3
33 2 3
33 3 3
33 4 3
34 1 3
34 2 3
34 3 3
34 4 3
35 1 3
35 2 3
35 3 3
35 4 3
36 1 3
36 2 3
36 3 3
36 4 3
37 1 3
37 2 3
37 3 3
37 4 3
38 1 3
38 2 3
38 3 3
38 4 3
39 1 3
39 2 3
39 3 3
39 4 3
40 1 3
40 2 3
40 3 3
40 4 3
41 1 3
41 2 3
41 3 3
41 4 3
42 1 3
42 2 3
42 3 3
42 4 3
43 1 3
43 2 3
43 3 3
43 4 3
44 1 3
44 2 3
44 3 3
44 4 3
45 1 3
45 2 3
45 3 3
45 4 3
46 1 3
46 2 3
46 3 3
46 4 3
47 1 3
47 2 3
47 3 3
47 4 3
48 1 3
48 2 3
48 3 3
48 4 3
49 1 3
49 2 3
49 3 3
49 4 3
50 1 3
50 2 3
50 3 3
50 4 3
51 1 3
51 2 3
51 3 3
51 4 3
52 1 3
52 2 3
52 3 3
52 4 3
53 1 3
53 2 3
53 3 3
53 4 3
54 1 3
54 2 3
54 3 3
54 4 3
55 1 3
55 2 3
55 3 3
55 4 3
56 1 3
56 2 3
56 3 3
56 4 3
57 1 3
57 2 3
57 3 3
57 4 3
58 1 3
58 2 3
58 3 3
58 4 3
59 1 3
59 2 3
59 3 3
59 4 3
60 1 3
60 2 3
60 3 3
60 4 3
61 1 3
61 2 3
61 3 3
61 4 3
62 1 3
62 2 3
62 3 3
62 4 3
63 1 3
63 2 3
63 3 3
63 4 3
64 1 3
64 2 3
64 3 3
64 4 3
64 5 3
65 1 3
65 2 3
65 3 3
65 4 3
65 5 3
66 1 3
66 2 3
66 3 3
66 4 3
66 5 3
67 1 3
67 2 3
67 3 3
67 4 3
67 5 3
68 1 3
68 2 3
68 3 3
68 4 3
68 5 3
69 1 3
69 2 3
69 3 3
69 4 3
69 5 3
70 1 3
70 2 3
70 3 3
70 4 3
70 5 3
71 1 3
71 2 3
71 3 3
71 4 3
71 5 3
72 1 3
72 2 3
72 3 3
72 4 3
72 5 3
73 1 3
73 2 3
73 3 3
73 4 3
73 5 3
time: 2300000000
32 1 4
32 2 4
32 3 4
32 4 4
33 1 4
33 2 4
33 3 4
33 4 4
34 1 4
34 2 4
34 3 4
34 4 4
35 1 4
35 2 4
35 3 4
35 4 4
36 1 4
36 2 4
36 3 4
36 4 4
37 1 4
37 2 4
37 3 4
37 4 4
38 1 4
38 2 4
38 3 4
38 4 4
39 1 4
39 2 4
39 3 4
39 4 4
40 1 4
40 2 4
40 3 4
40 4 4
41 1 4
41 2 4
41 3 4
41 4 4
42 1 4
42 2 4
42 3 4
42 4 4
43 1 4
43 2 4
43 3 4
43 4 4
44 1 4
44 2 4
44 3 4
44 4 4
45 1 4
45 2 4
45 3 4
45 4 4
46 1 4
46 2 4
46 3 4
46 4 4
47 1 4
47 2 4
47 3 4
47 4 4
48 1 4
48 2 4
48 3 4
48 4 4
49 1 4
49 2 4
49 3 4
49 4 4
50 1 4
50 2 4
50 3 4
50 4 4
51 1 4
51 2 4
51 3 4
51 4 4
52 1 4
52 2 4
52 3 4
52 4 4
53 1 4
53 2 4
53 3 4
53 4 4
54 1 4
54 2 4
54 3 4
54 4 4
55 1 4
55 2 4
55 3 4
55 4 4
56 1 4
56 2 4
56 3 4
56 4 4
57 1 4
57 2 4
57 3 4
57 4 4
58 1 4
58 2 4
58 3 4
58 4 4
59 1 4
59 2 4
59 3 4
59 4 4
60 1 4
60 2 4
60 3 4
60 4 4
61 1 4
61 2 4
61 3 4
61 4 4
62 1 4
62 2 4
62 3 4
62 4 4
63 1 4
63 2 4
63 3 4
63 4 4
64 1 4
64 2 4
64 3 4
64 4 4
64 5 4
65 1 4
65 2 4
65 3 4
65 4 4
65 5 4
66 1 4
66 2 4
66 3 4
66 4 4
66 5 4
67 1 4
67 2 4
67 3 4
67 4 4
67 5 4
68 1 4
68 2 4
68 3 4
68 4 4
68 5 4
69 1 4
69 2 4
69 3 4
69 4 4
69 5 4
70 1 4
70 2 4
70 3 4
70 4 4
70 5 4
71 1 4
71 2 4
71 3 4
71 4 4
71 5 4
72 1 4
72 2 4
72 3 4
72 4 4
72 5 4
73 1 4
73 2 4
73 3 4
73 4 4
73 5 4
time: 2400000000
32 1 5
32 2 5
32 3 5
32 4 5
33 1 5
33 2 5
33 3 5
33 4 5
34 1 5
34 2 5
34 3 5
34 4 5
35 1 5
35 2 5
35 3 5
35 4 5
36 1 5
36 2 5
36 3 5
36 4 5
37 1 5
37 2 5
37 3 5
37 4 5
38 1 5
38 2 5
38 3 5
38 4 5
39 1 5
39 2 5
39 3 5
39 4 5
40 1 5
40 2 5
40 3 5
40 4 5
41 1 5
41 2 5
41 3 5
41 4 5
42 1 5
42 2 5
42 3 5
42 4 5
43 1 5
43 2 5
43 3 5
43 4 5
44 1 5
44 2 5
44 3 5
44 4 5
